COD_ITEM        Cont04	Cont08	Cont12	Cont16	Cont26	Cont52	ContAno	ContTt      Total Geral         Metodo     MetEst       Md04    Md08      Md12        Md16          Md26         Md52       MdAno       MdTt          Máximo       TP_Metodo              Metodo      MetEst       Estoque    Reposição      Fx_Giro                                       Giro                                                                                        
002.000.130     4	     8	    12	    16	    26	    52	    50	    118         3.515               41         656          31      38        41          39            37           27         29          27            80           1.ORDINÁRIOS           41          656          104        552            C.ATÉ UM MÊS DE ESTOQUE                       3,0                                                                                       
021.001.012     4	     8	    12	    16	    26	    52	    50	    118         81.392              690        11.040       480     545       650         510           505          680        685         690           1.440        1.ORDINÁRIOS           690         11.040       5.340      5.700          D.ATÉ DOIS MESES DE ESTOQUE                   8,0                                                                                                          
050.001.005     4	     8	    12	    16	    26	    52	    50	    74          503                 7          112          3       4         4           6             7            6          6           6             20           1.ORDINÁRIOS           7           112          305        0              G.ATÉ DOZE MESES DE ESTOQUE                   44,0                                                                                    
005.000.011     4	     8	    12	    16	    25	    50	    49	    108         19.510              210        3.360        170     170       170         200           210          165        180         150           450          1.ORDINÁRIOS           210         3.360        1.510      1.850          D.ATÉ DOIS MESES DE ESTOQUE                   7,0                                                                                                       
002.000.096     3	     6	    10	    12	    22	    44	    43	    94          336                 10         160          10      5         5           5             5            4          4           3             11           1.ORDINÁRIOS           10          160          62         98             D.ATÉ DOIS MESES DE ESTOQUE                   6,0                                                                                     
301.004.001     1	     3	    6	    8	    11	    23	    22	    41          1.928               37         592          60      60        60          60            60           60         60          40            140          2.INTERMITENTES        37          592          460        132            E.ATÉ TRÊS MESES DE ESTOQUE                   12,0                                                                                               
021.001.060     4	     8	    10	    13	    21	    42	    40	    93          1.077               19         304          17      19        15          12            12           12         12          8             82           1.ORDINÁRIOS           19          304          358        0              G.ATÉ DOZE MESES DE ESTOQUE                   19,0                                                                                        
002.000.115     1	     4	    7	    9	    16	    36	    34	    75          337                 6          96           6       3         1           2             2            2          2           3             21           1.ORDINÁRIOS           6           96           68         28             E.ATÉ TRÊS MESES DE ESTOQUE                   11,0                                                                                   
327.001.002     2	     4	    5	    6	    6	    10	    9	    18          1.290               25         400          60      90        90          90            90           90         90          90            120          2.INTERMITENTES        25          400          4.290      0              H.OUTROS COM MAIS DE DOZE MESES DE ESTOQUE    172,0                                                                                                              
327.001.001     3	     7	    11	    15	    25	    51	    49	    112         26.412              240        3.840        240     240       240         240           240          240        240         210           750          1.ORDINÁRIOS           240         3.840        5.430      0              G.ATÉ DOZE MESES DE ESTOQUE                   23,0                                                                                                   
022.001.002     4	     8	    12	    16	    26	    51	    49	    115         10.095              204        3.264        194     204       146         118           153          110        113         70            328          1.ORDINÁRIOS           204         3.264        1.395      1.869          D.ATÉ DOIS MESES DE ESTOQUE                   7,0                                                                                                      
005.000.037     2	     6	    9	    12	    18	    36	    34	    72          8.555               120        1.920        120     45        60          45            65           90         80          80            420          1.ORDINÁRIOS           120         1.920        1.610      310            F.ATÉ QUATRO MESES DE ESTOQUE                 13,0                                                                                                   
005.000.009     1	     2	    4	    6	    9	    22	    21	    59          3.715               71         1.136        70      50        50          60            60           60         60          60            180          2.INTERMITENTES        71          1.136        720        416            E.ATÉ TRÊS MESES DE ESTOQUE                   10,0                                                                                                 
308.001.002     4	     8	    12	    16	    26	    52	    50	    118         21.872              168        2.688        168     168       168         168           168          168        168         168           375          1.ORDINÁRIOS           168         2.688        2.183      505            F.ATÉ QUATRO MESES DE ESTOQUE                 13,0                                                                                                       
009.000.001     0	     0	    0	    1	    2	    2	    2	    9           23                  0          0            0       0         0           2             2            2          2           2             6            2.INTERMITENTES        0           0            40         0              B.ZERADOS COM DISPENSAÇÕES                    0,0                                                                                  
021.001.032     4	     8	    12	    16	    26	    52	    50	    118         45.242              390        6.240        325     363       390         390           390          390        390         365           830          1.ORDINÁRIOS           390         6.240        7.780      0              G.ATÉ DOZE MESES DE ESTOQUE                   20,0                                                                                                   
009.000.011     4	     8	    12	    16	    26	    52	    50	    74          37.120              590        9.440        575     575       590         548           565          540        540         480           975          1.ORDINÁRIOS           590         9.440        8.345      1.095          F.ATÉ QUATRO MESES DE ESTOQUE                 14,0                                                                                                         
021.001.033     4	     8	    12	    16	    26	    52	    50	    118         108.361             965        15.440       840     893       918         965           933          915        915         913           1.620        1.ORDINÁRIOS           965         15.440       15.679     0              F.ATÉ QUATRO MESES DE ESTOQUE                 16,0                                                                                                         
002.000.100     4	     6	    10	    12	    20	    35	    33	    67          223                 4          64           4       3         3           3             3            2          2           3             10           1.ORDINÁRIOS           4           64           15         49             C.ATÉ UM MÊS DE ESTOQUE                       4,0                                                                               
010.001.003     4	     8	    12	    16	    26	    52	    50	    118         3.605               33         528          22      31        31          33            32           31         32          26            111          1.ORDINÁRIOS           33          528          887        0              G.ATÉ DOZE MESES DE ESTOQUE                   27,0                                                                                          
010.001.004     4	     8	    12	    16	    26	    52	    50	    118         81.403              859        13.744       588     795       859         766           795          771        780         679           1.460        1.ORDINÁRIOS           859         13.744       18.063     0              G.ATÉ DOZE MESES DE ESTOQUE                   21,0                                                                                                       
002.000.067     2	     4	    5	    5	    8	    24	    23	    50          1.305               25         400          23      30        30          30            30           30         30          30            45           2.INTERMITENTES        25          400          315        85             F.ATÉ QUATRO MESES DE ESTOQUE                 13,0                                                                                               
330.001.002     0	     1	    1	    1	    1	    3	    3	    3           3                   0          0            0       1         1           1             1            1          1           1             1            2.INTERMITENTES        0           0            14         0              B.ZERADOS COM DISPENSAÇÕES                    0,0                                                                                  
003.000.002     0	     0	    0	    0	    1	    5	    5	    20          1.400               0          0            0       0         0           0             30           30         30          80            180          3.INATIVOS             0           0            500        0              I.INATIVOS COM ESTOQUE                        0,0                                                                                
001.000.006     4	     8	    12	    16	    26	    52	    50	    118         83.480              720        11.520       680     675       655         655           700          720        720         710           1.590        1.ORDINÁRIOS           720         11.520       5.940      5.580          D.ATÉ DOIS MESES DE ESTOQUE                   8,0                                                                                                          
002.000.023     2	     4	    5	    9	    14	    36	    35	    91          5.780               75         1.200        75      50        40          40            40           40         40          60            260          1.ORDINÁRIOS           75          1.200        1.330      0              G.ATÉ DOZE MESES DE ESTOQUE                   18,0                                                                                              
008.001.007     1	     2	    3	    4	    9	    16	    16	    35          1.860               36         576          90      105       90          90            60           60         60          60            120          2.INTERMITENTES        36          576          778        0              G.ATÉ DOZE MESES DE ESTOQUE                   22,0                                                                                             
008.001.008     4	     8	    12	    16	    26	    46	    44	    78          13.650              360        5.760        360     210       210         195           180          180        180         150           660          1.ORDINÁRIOS           360         5.760        3.090      2.670          E.ATÉ TRÊS MESES DE ESTOQUE                   9,0                                                                                                       
008.001.005     4	     8	    12	    16	    24	    49	    47	    114         15.370              135        2.160        135     120       105         120           120          120        120         120           330          1.ORDINÁRIOS           135         2.160        1.420      740            E.ATÉ TRÊS MESES DE ESTOQUE                   11,0                                                                                                     
002.000.024     3	     7	    11	    15	    25	    48	    47	    108         390                 4          64           4       4         4           4             4            4          4           3             9            1.ORDINÁRIOS           4           64           62         2              F.ATÉ QUATRO MESES DE ESTOQUE                 16,0                                                                                   
002.000.025     4	     8	    12	    16	    23	    45	    45	    103         11.178              110        1.760        110     100       90          84            80           80         80          100           620          1.ORDINÁRIOS           110         1.760        1.752      8              F.ATÉ QUATRO MESES DE ESTOQUE                 16,0                                                                                                  
002.000.026     0	     0	    1	    1	    1	    2	    2	    8           13                  0          0            0       0         2           2             2            2          2           2             2            2.INTERMITENTES        0           0            102        0              B.ZERADOS COM DISPENSAÇÕES                    0,0                                                                                   
002.000.059     3	     7	    9	    11	    15	    35	    34	    90          208                 2          32           2       1         1           1             1            1          1           2             8            1.ORDINÁRIOS           2           32           42         0              G.ATÉ DOZE MESES DE ESTOQUE                   21,0                                                                                 
002.000.027     4	     8	    12	    16	    26	    52	    50	    118         3.157               27         432          19      17        20          21            22           27         27          26            52           1.ORDINÁRIOS           27          432          551        0              G.ATÉ DOZE MESES DE ESTOQUE                   20,0                                                                                         
001.000.008     4	     8	    12	    16	    26	    52	    50	    117         44.170              435        6.960        435     390       390         405           435          420        420         360           900          1.ORDINÁRIOS           435         6.960        6.630      330            F.ATÉ QUATRO MESES DE ESTOQUE                 15,0                                                                                                       
002.000.058     4	     8	    12	    16	    26	    52	    50	    115         100.006             1.354      21.664       1.292   1.354     1.354       1.312         1.270        1.068      1.086       862           1.610        1.ORDINÁRIOS           1.354       21.664       14.270     7.394          E.ATÉ TRÊS MESES DE ESTOQUE                   11,0                                                                                                                   
002.000.039     3	     7	    11	    14	    21	    38	    37	    99          910                 4          64           3       3         3           3             3            3          3           4             129          1.ORDINÁRIOS           4           64           69         0              G.ATÉ DOZE MESES DE ESTOQUE                   17,0                                                                                   
008.001.002     0	     0	    0	    0	    0	    0	    0	    40          4.890               0          0            0       0         0           0             0            0          0           120           270          3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
021.001.058     3	     4	    7	    10	    17	    32	    32	    64          241                 9          144          8       9         8           8             8            3          3           3             15           1.ORDINÁRIOS           9           144          73         71             D.ATÉ DOIS MESES DE ESTOQUE                   8,0                                                                                    
002.000.028     4	     8	    12	    16	    26	    52	    50	    114         551                 6          96           4       5         6           5             5            5          5           5             21           1.ORDINÁRIOS           6           96           58         38             E.ATÉ TRÊS MESES DE ESTOQUE                   10,0                                                                                   
005.000.025     1	     2	    3	    4	    6	    11	    11	    11          460                 9          144          40      40        40          40            40           40         40          40            80           2.INTERMITENTES        9           144          740        0              H.OUTROS COM MAIS DE DOZE MESES DE ESTOQUE    82,0                                                                                                          
002.000.073     4	     8	    12	    16	    26	    52	    50	    117         31.153              286        4.576        258     258       286         258           237          252        252         252           616          1.ORDINÁRIOS           286         4.576        4.540      36             F.ATÉ QUATRO MESES DE ESTOQUE                 16,0                                                                                                      
002.000.047     0	     1	    2	    2	    4	    5	    5	    5           175                 3          48           0       35        35          35            35           35         35          35            35           2.INTERMITENTES        3           48           1.925      0              H.OUTROS COM MAIS DE DOZE MESES DE ESTOQUE    642,0                                                                                                           
002.000.140     0	     1	    3	    5	    9	    16	    15	    45          1.204               23         368          0       28        28          28            28           28         28          28            70           2.INTERMITENTES        23          368          392        0              G.ATÉ DOZE MESES DE ESTOQUE                   17,0                                                                                            
005.000.028     4	     8	    12	    16	    26	    52	    50	    118         31.333              365        5.840        255     290       335         365           360          335        335         240           600          1.ORDINÁRIOS           365         5.840        7.100      0              G.ATÉ DOZE MESES DE ESTOQUE                   19,0                                                                                                   
002.000.141     3	     4	    7	    10	    18	    42	    40	    103         459                 5          80           2       4         3           5             5            4          5           4             11           1.ORDINÁRIOS           5           80           110        0              G.ATÉ DOZE MESES DE ESTOQUE                   22,0                                                                                   
012.001.001     4	     8	    12	    16	    26	    52	    50	    118         186.329             1.623      25.968       1.551   1.590     1.590       1.614         1.623        1.543      1.543       1.543         2.912        1.ORDINÁRIOS           1.623       25.968       14.792     11.176         E.ATÉ TRÊS MESES DE ESTOQUE                   9,0                                                                                                                      
005.000.080     1	     2	    3	    4	    5	    11	    11	    24          75                  1          16           6       5         3           3             3            3          3           3             6            2.INTERMITENTES        1           16           1          15             C.ATÉ UM MÊS DE ESTOQUE                       1,0                                                                                
302.004.003     4	     8	    12	    16	    25	    46	    44	    106         18.390              225        3.600        195     225       210         210           180          165        165         150           600          1.ORDINÁRIOS           225         3.600        2.700      900            E.ATÉ TRÊS MESES DE ESTOQUE                   12,0                                                                                                     
030.001.007     4	     8	    12	    16	    26	    52	    50	    118         37.711              411        6.576        411     383       365         362           362          349        354         321           522          1.ORDINÁRIOS           411         6.576        224        6.352          C.ATÉ UM MÊS DE ESTOQUE                       1,0                                                                                                 
002.000.043     4	     8	    12	    16	    26	    52	    50	    118         1.820               14         224          10      12        12          12            10           12         12          14            38           1.ORDINÁRIOS           14          224          328        0              G.ATÉ DOZE MESES DE ESTOQUE                   23,0                                                                                         
002.000.031     4	     8	    12	    16	    26	    52	    50	    118         34.843              270        4.320        175     155       155         150           155          220        225         270           730          1.ORDINÁRIOS           270         4.320        4.090      230            F.ATÉ QUATRO MESES DE ESTOQUE                 15,0                                                                                                       
021.001.063     4	     8	    12	    16	    26	    52	    50	    117         13.745              115        1.840        70      115       100         110           110          110        110         110           370          1.ORDINÁRIOS           115         1.840        1.930      0              G.ATÉ DOZE MESES DE ESTOQUE                   17,0                                                                                                   
303.006.004     4	     6	    10	    12	    19	    38	    37	    79          5.380               60         960          55      55        60          60            60           60         60          60            180          1.ORDINÁRIOS           60          960          1.030      0              G.ATÉ DOZE MESES DE ESTOQUE                   17,0                                                                                            
011.001.001     0	     0	    0	    0	    0	    0	    0	    1           20                  0          0            0       0         0           0             0            0          0           20            20           3.INATIVOS             0           0            540        0              I.INATIVOS COM ESTOQUE                        0,0                                                                            
325.014.001     4	     7	    9	    13	    17	    25	    24	    27          65                  1          16           3       2         2           2             2            2          2           2             8            2.INTERMITENTES        1           16           7          9              D.ATÉ DOIS MESES DE ESTOQUE                   7,0                                                                                   
002.000.132     3	     6	    9	    12	    19	    40	    38	    87          372                 4          64           2       3         4           4             3            3          3           3             14           1.ORDINÁRIOS           4           64           79         0              G.ATÉ DOZE MESES DE ESTOQUE                   20,0                                                                                  
002.000.032     0	     0	    0	    0	    2	    14	    13	    28          51                  0          0            0       0         0           0             1            1          1           2             6            3.INATIVOS             0           0            1          0              I.INATIVOS COM ESTOQUE                        0,0                                                                            
313.001.001     4	     8	    12	    16	    26	    52	    50	    118         1.144               12         192          12      9         9           10            9            8          8           8             34           1.ORDINÁRIOS           12          192          91         101            D.ATÉ DOIS MESES DE ESTOQUE                   8,0                                                                                      
010.001.002     4	     8	    12	    16	    26	    52	    50	    118         3.432               30         480          24      30        30          28            29           29         29          28            74           1.ORDINÁRIOS           30          480          599        0              G.ATÉ DOZE MESES DE ESTOQUE                   20,0                                                                                         
308.002.001     4	     8	    12	    16	    26	    52	    50	    117         114.017             880        14.080       600     765       705         698           841          871        871         880           2.150        1.ORDINÁRIOS           880         14.080       20.260     0              G.ATÉ DOZE MESES DE ESTOQUE                   23,0                                                                                                       
007.000.001     4	     8	    12	    14	    22	    44	    42	    96          8.540               90         1.440        90      90        90          90            80           80         80          80            480          1.ORDINÁRIOS           90          1.440        920        520            E.ATÉ TRÊS MESES DE ESTOQUE                   10,0                                                                                              
005.000.007     4	     8	    12	    16	    26	    52	    50	    118         31.216              286        4.576        286     276       270         260           242          263        253         270           500          1.ORDINÁRIOS           286         4.576        1.916      2.660          D.ATÉ DOIS MESES DE ESTOQUE                   7,0                                                                                                       
001.000.011     4	     8	    12	    16	    26	    52	    50	    113         27.260              260        4.160        170     220       260         260           250          220        220         220           620          1.ORDINÁRIOS           260         4.160        4.580      0              G.ATÉ DOZE MESES DE ESTOQUE                   18,0                                                                                                   
002.000.099     1	     3	    6	    8	    14	    33	    32	    86          243                 7          112          7       4         3           2             3            2          2           2             11           1.ORDINÁRIOS           7           112          49         63             D.ATÉ DOIS MESES DE ESTOQUE                   7,0                                                                                    
002.000.033     4	     8	    12	    16	    26	    52	    50	    118         16.661              125        2.000        74      95        101         113           100          125        125         125           436          1.ORDINÁRIOS           125         2.000        1.068      932            E.ATÉ TRÊS MESES DE ESTOQUE                   9,0                                                                                                     
007.000.002     4	     8	    12	    16	    26	    52	    50	    117         1.073               9          144          8       8         6           6             5            9          9           9             24           1.ORDINÁRIOS           9           144          187        0              G.ATÉ DOZE MESES DE ESTOQUE                   21,0                                                                                    
005.000.033     4	     8	    12	    16	    26	    52	    50	    118         315.959             3.181      50.896       2.714   3.181     3.113       3.099         2.920        2.995      2.995       2.750         4.000        1.ORDINÁRIOS           3.181       50.896       37.859     13.037         E.ATÉ TRÊS MESES DE ESTOQUE                   12,0                                                                                                                      
002.000.056     4	     8	    12	    16	    26	    52	    50	    118         3.495               32         512          21      23        23          29            32           30         31          30            61           1.ORDINÁRIOS           32          512          432        80             F.ATÉ QUATRO MESES DE ESTOQUE                 14,0                                                                                            
222.001.002     0	     0	    0	    0	    1	    2	    2	    2           60                  0          0            0       0         0           0             30           30         30          30            30           3.INATIVOS             0           0            570        0              I.INATIVOS COM ESTOQUE                        0,0                                                                               
222.001.001     0	     1	    1	    1	    3	    3	    3	    16          650                 13         208          0       60        60          60            60           60         60          30            90           2.INTERMITENTES        13          208          660        0              G.ATÉ DOZE MESES DE ESTOQUE                   51,0                                                                                            
002.000.049     0	     0	    0	    0	    0	    0	    0	    25          148                 0          0            0       0         0           0             0            0          0           5             15           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
021.001.095     1	     5	    8	    12	    21	    45	    43	    105         704                 6          96           4       3         3           3             3            6          6           6             24           1.ORDINÁRIOS           6           96           146        0              G.ATÉ DOZE MESES DE ESTOQUE                   24,0                                                                                   
009.000.002     2	     3	    4	    7	    9	    13	    13	    41          222                 4          64           8       4         3           2             2            2          2           4             15           2.INTERMITENTES        4           64           91         0              G.ATÉ DOZE MESES DE ESTOQUE                   23,0                                                                                     
002.000.036     1	     3	    5	    7	    9	    20	    20	    56          106                 2          32           1       1         2           2             1            1          1           1             8            2.INTERMITENTES        2           32           15         17             D.ATÉ DOIS MESES DE ESTOQUE                   8,0                                                                                     
002.000.035     4	     7	    10	    14	    22	    44	    43	    102         6.319               60         960          45      30        45          55            60           55         50          50            260          1.ORDINÁRIOS           60          960          680        280            E.ATÉ TRÊS MESES DE ESTOQUE                   11,0                                                                                            
002.000.037     3	     7	    10	    14	    23	    43	    43	    100         351                 4          64           3       3         4           3             3            3          3           3             11           1.ORDINÁRIOS           4           64           93         0              G.ATÉ DOZE MESES DE ESTOQUE                   23,0                                                                                  
002.000.046     4	     8	    12	    16	    26	    52	    50	    118         41.564              363        5.808        313     363       318         318           303          340        345         330           995          1.ORDINÁRIOS           363         5.808        7.737      0              G.ATÉ DOZE MESES DE ESTOQUE                   21,0                                                                                                   
002.000.038     4	     8	    12	    16	    26	    52	    50	    117         37.017              298        4.768        210     195       210         230           240          298        290         295           780          1.ORDINÁRIOS           298         4.768        4.760      8              F.ATÉ QUATRO MESES DE ESTOQUE                 16,0                                                                                                     
308.003.001     1	     1	    1	    1	    1	    1	    1	    2           60                  1          16           30      30        30          30            30           30         30          30            30           2.INTERMITENTES        1           16           870        0              H.OUTROS COM MAIS DE DOZE MESES DE ESTOQUE    870,0                                                                                                         
006.000.002     4	     8	    12	    16	    26	    52	    50	    114         26.240              230        3.680        135     150       180         180           200          230        230         211           559          1.ORDINÁRIOS           230         3.680        4.620      0              G.ATÉ DOZE MESES DE ESTOQUE                   20,0                                                                                                   
308.001.001     4	     8	    12	    16	    24	    46	    45	    88          7.847               135        2.160        100     100       135         133           103          90         84          70            245          1.ORDINÁRIOS           135         2.160        1.795      365            F.ATÉ QUATRO MESES DE ESTOQUE                 13,0                                                                                                    
315.001.002     4	     8	    12	    16	    26	    51	    49	    113         534                 8          128          6       8         5           7             6            6          6           5             10           1.ORDINÁRIOS           8           128          103        25             F.ATÉ QUATRO MESES DE ESTOQUE                 13,0                                                                                       
013.001.001     0	     0	    0	    0	    0	    0	    0	    1           30                  0          0            0       0         0           0             0            0          0           30            30           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
005.000.021     2	     4	    6	    8	    14	    33	    32	    79          874                 15         240          15      15        11          11            11           9          9           9             27           1.ORDINÁRIOS           15          240          190        50             F.ATÉ QUATRO MESES DE ESTOQUE                 13,0                                                                                         
304.001.004     3	     6	    8	    12	    20	    40	    38	    94          7.550               60         960          30      30        45          60            60           60         60          60            180          1.ORDINÁRIOS           60          960          1.800      0              G.ATÉ DOZE MESES DE ESTOQUE                   30,0                                                                                            
230.001.001     4	     8	    12	    16	    26	    52	    50	    105         18.669              281        4.496        281     233       243         254           233          224        225         166           555          1.ORDINÁRIOS           281         4.496        3.568      928            F.ATÉ QUATRO MESES DE ESTOQUE                 13,0                                                                                                       
325.023.002     4	     5	    6	    7	    9	    15	    15	    54          1.278               25         400          15      20        24          28            20           20         20          20            58           2.INTERMITENTES        25          400          430        0              G.ATÉ DOZE MESES DE ESTOQUE                   17,0                                                                                            
002.000.119     0	     1	    2	    2	    3	    4	    4	    17          470                 9          144          0       30        45          45            30           30         30          30            60           2.INTERMITENTES        9           144          90         54             E.ATÉ TRÊS MESES DE ESTOQUE                   10,0                                                                                           
325.019.006     0	     1	    1	    1	    1	    1	    1	    1           24                  0          0            0       24        24          24            24           24         24          24            24           2.INTERMITENTES        0           0            0          0              B.ZERADOS COM DISPENSAÇÕES                    0,0                                                                                      
325.024.001     0	     0	    0	    0	    0	    0	    0	    1           5                   0          0            0       0         0           0             0            0          0           5             5            3.INATIVOS             0           0            11         0              I.INATIVOS COM ESTOQUE                        0,0                                                                            
313.004.003     0	     0	    0	    0	    0	    0	    0	    1           1                   0          0            0       0         0           0             0            0          0           1             1            3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
005.000.083     0	     0	    0	    0	    0	    1	    1	    1           20                  0          0            0       0         0           0             0            20         20          20            20           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
325.034.002     0	     0	    1	    2	    8	    11	    11	    11          12                  0          0            0       0         1           1             1            1          1           1             2            2.INTERMITENTES        0           0            0          0              B.ZERADOS COM DISPENSAÇÕES                    0,0                                                                                 
325.002.003     0	     0	    0	    0	    1	    1	    1	    1           30                  0          0            0       0         0           0             30           30         30          30            30           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                         
228.001.011     1	     2	    3	    4	    6	    9	    9	    15          28                  1          16           2       2         2           2             2            2          2           2             2            2.INTERMITENTES        1           16           0          16             B.ZERADOS COM DISPENSAÇÕES                    0,0                                                                                   
021.001.064     0	     0	    0	    0	    0	    0	    0	    1           60                  0          0            0       0         0           0             0            0          0           60            60           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
000.001.002     0	     0	    0	    0	    0	    0	    0	    1           30                  0          0            0       0         0           0             0            0          0           30            30           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
021.001.110     0	     0	    0	    0	    0	    0	    0	    1           1                   0          0            0       0         0           0             0            0          0           1             1            3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
021.001.099     0	     0	    0	    0	    0	    0	    0	    4           100                 0          0            0       0         0           0             0            0          0           28            30           3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
325.019.005     1	     4	    8	    11	    16	    16	    16	    16          59                  3          48           1       2         3           2             3            3          3           3             15           4.RECENTES             3           48           61         0              G.ATÉ DOZE MESES DE ESTOQUE                   20,0                                                                                 
325.001.005     2	     4	    6	    7	    9	    19	    18	    22          1.020               20         320          30      45        30          30            30           30         45          60            60           2.INTERMITENTES        20          320          0          320            B.ZERADOS COM DISPENSAÇÕES                    0,0                                                                                           
